listing_date,code,company_name,market
2023-04-26,5572,（株）Ridge-i,グロース
2023-04-25,7330,レオス・キャピタルワークス（株）,グロース
2023-04-21,5838,楽天銀行（株）,プライム
2023-04-20,4040,南海化学（株）,スタンダード
2023-04-19,5571,エキサイトホールディングス（株）,スタンダード
2023-04-18,5570,（株）ジェノバ,グロース
2023-04-12,9348,（株）ｉｓｐａｃｅ,グロース
2023-04-04,5258,（株）トランザクション・メディア・ネットワークス,グロース
2023-04-03,5259,ＢＢＤイニシアティブ（株）,グロース
2023-04-03,9347,日本管財ホールディングス（株）,プライム
2023-03-31,5256,（株）Ｆｕｓｉｃ,グロース
2023-03-31,9346,（株）ココルポート,グロース
2023-03-30,5257,ノバシステム（株）,スタンダード
2023-03-30,9345,ビズメイツ（株）,グロース
2023-03-29,5027,AnyMind Group（株）,グロース
2023-03-29,7163,住信SBIネット銀行（株）,スタンダード
2023-03-28,5254,（株）Ａｒｅｎｔ,グロース
2023-03-28,5255,（株）モンスターラボホールディングス,グロース
2023-03-28,9344,アクシスコンサルティング（株）,グロース
2023-03-27,5253,カバー（株）,グロース
2023-03-23,5252,日本ナレッジ（株）,グロース
2023-03-23,7119,（株）ハルメクホールディングス,グロース
2023-03-23,9343,（株）アイビス,グロース
2023-03-22,7120,（株）ＳＨＩＮＫＯ,スタンダード
2023-02-22,5250,プライム・ストラテジー（株）,スタンダード
2023-01-26,5248,（株）テクノロジーズ,グロース
2022-12-29,9342,（株）スマサポ,グロース
2022-12-28,5461,中部鋼鈑（株）,プライム
2022-12-27,5246,（株）ELEMENTS,グロース
2022-12-27,5247,（株）ＢＴＭ,グロース
2022-12-26,7115,（株）アルファパーチェス,スタンダード
2022-12-26,7116,ダイワ通信（株）,スタンダード
2022-12-23,8996,（株）ハウスフリーダム,スタンダード
2022-12-23,9340,（株）アソインターナショナル,スタンダード
2022-12-23,9341,（株）GENOVA,グロース
2022-12-22,5244,（株）jig.jp,グロース
2022-12-22,9339,（株）コーチ・エィ,スタンダード
2022-12-21,2937,（株）サンクゼール,グロース
2022-12-21,5242,（株）アイズ,グロース
2022-12-21,5243,note（株）,グロース
2022-12-20,5240,monoAI technology（株）,グロース
2022-12-20,9338,（株）ＩＮＦＯＲＩＣＨ,グロース
2022-12-19,9337,（株）トリドリ,グロース
2022-12-16,5138,（株）Rebase,グロース
2022-12-16,5139,オープンワーク（株）,グロース
2022-12-16,7114,（株）フーディソン,グロース
2022-12-15,5137,（株）スマートドライブ,グロース
2022-12-14,9204,スカイマーク（株）,グロース
